"현재상태
(Hozirgi holat)","개체번호
(Hayvon ID raqaM0i)","품종/종류
(Zoti / Turi)","성별
(Jinsi)","방번호
(Xona raqami)","그룹번호
(Guruh raqami)","출생일
(Tug‘ilgan sana)","모축번호
(Ona ID raqami)","종축번호
(Otasi (erkak) ID raqami)","비고
(Izoh)","유입구분
(Kirish toifasi)","입식일
(Keltirilgan sana)","입식농가
(Keltirilgan xo‘jalik)"
사육,F0255,흑,암,21,ETCF,,,,,,,
사육,F0254,흑,암,21,ETCF,,,,,,,
사육,F0253,흑,암,21,ETCF,,,,,,,
사육,F0252,흑,암,21,ETCF,,,,,,,
사육,F0251,흑,암,21,ETCF,,,,,,,
사육,F0325,보어,암,21,ETCF,,,,,,,
사육,F0324,보어,암,21,ETCF,,,,,,,
사육,F0323,흑,암,6,G2603,,,,대리모 (M0084),,,
사육,F0322,흑,암,21,ETCF,,,,무각,,,
사육,F0321,보어,암,21,ETCF,,,,,,,
사육,F0330,흑,암,21,ETCF,,,,,,,
사육,F0329,보어,암,21,ETCF,,,,,,,
사육,F0328,보어,암,21,ETCF,,,,,,,
사육,F0327,흑,암,21,ETCF,,,,,,,고성
사육,F0326,흑,암,21,ETCF,,,,,,,
사육,F0320,보어,암,21,ETCF,,,,,,,
사육,F0319,보어,암,21,ETCF,,,,,,,
사육,F0318,보어,암,21,ETCF,,,,귀에 염증 있어서 처치,,,
사육,F0317,흑,암,21,ETCF,,,,,,,
사육,F0316,흑,암,6,G2603,,,,임신 의심,,,
사육,F0310,흑,암,21,ETCF,,,,,,,고성
사육,F0309,보어,암,21,ETCF,,,,,,,
사육,F0308,흑,암,6,G2603,,,,,,,
사육,F0307,흑,암,21,ETCF,,,,,,,고성
사육,F0306,흑,암,21,ETCF,,,,,,,
사육,F0265,흑,암,21,ETCF,,,,,,,
사육,F0264,보어,암,21,ETCF,,,,,,,
사육,F0263,보어,암,21,ETCF,,,,,,,
사육,F0262,흑,암,21,ETCF,,,,,,,
사육,F0261,보어,암,21,ETCF,,,,,,,
사육,F0270,흑,암,21,ETCF,,,,,,,
사육,F0269,흑,암,21,ETCF,,,,,,,
사육,F0268,보어,암,21,ETCF,,,,기침함,,,
사육,F0267,흑,암,21,ETCF,,,,,,,고성
사육,F0266,흑,암,21,ETCF,,,,,,,
사육,F0275,흑,암,21,ETCF,,,,,,,
사육,F0274,흑,암,21,ETCF,,,,,,,
사육,F0273,보어,암,21,ETCF,,,,,,,
사육,F0272,흑,암,21,ETCF,,,,,,,고성
사육,F0271,흑,암,21,ETCF,,,,,,,
사육,F0280,흑,암,21,ETCF,,,,,,,
사육,F0279,흑,암,21,ETCF,,,,,,,
사육,F0278,흑,암,21,ETCF,,,,,,,
사육,F0277,보어,암,21,ETCF,,,,,,,
사육,F0276,흑,암,21,ETCF,,,,,,,
사육,F0305,보어,암,21,ETCF,,,,,,,
사육,F0304,흑,암,21,ETCF,,,,,,,
사육,F0303,흑,암,21,ETCF,,,,,,,
사육,F0302,흑,암,21,ETCF,,,,,,,
사육,F0301,흑,암,21,ETCF,,,,,,,
사육,F0315,보어,암,21,ETCF,,,,,,,
사육,F0314,흑,암,21,ETCF,,,,,,,
사육,F0313,흑,암,21,ETCF,,,,,,,
사육,F0312,흑,암,21,ETCF,,,,,,,
사육,F0311,흑,암,21,ETCF,,,,,,,
사육,F0335,흑,암,21,ETCF,,,,,,,
사육,F0334,흑,암,21,ETCF,,,,,,,고성
사육,F0333,흑,암,21,ETCF,,,,,,,고성
사육,F0332,흑,암,21,ETCF,,,,,,,
사육,F0331,보어,암,21,ETCF,,,,,,,
사육,F0285,보어,암,21,ETCF,,,,,,,
사육,F0284,보어,암,21,ETCF,,,,,,,
사육,F0283,보어,암,21,ETCF,,,,,,,
사육,F0282,흑,암,8,GFAIL,,,,,,,고성
사육,F0281,흑,암,21,ETCF,,,,,,,고성
사육,F0340,흑,암,21,ETCF,,,,,,,고성
사육,F0339,흑,암,21,ETCF,,,,,,,고성
사육,F0338,보어,암,21,ETCF,,,,,,,
사육,F0337,보어,암,21,ETCF,,,,,,,
사육,F0336,보어,암,21,ETCF,,,,,,,
사육,F0260,흑,암,21,ETCF,,,,,,,
사육,F0259,흑,암,21,ETCF,,,,,,,
사육,F0258,흑,암,21,ETCF,,,,"안좋음, 진액",,,
사육,F0257,흑,암,21,ETCF,,,,,,,고성
사육,F0256,흑,암,21,ETCF,,,,,,,고성
사육,F0290,흑,암,21,ETCF,,,,,,,
사육,F0289,흑,암,21,ETCF,,,,,,,
사육,F0288,흑,암,21,ETCF,,,,,,,
사육,F0287,보어,암,21,ETCF,,,,,,,
사육,F0286,보어,암,21,ETCF,,,,,,,
사육,F0295,보어,암,21,ETCF,,,,,,,
사육,F0294,흑,암,21,ETCF,,,,,,,
사육,F0292,흑,암,21,ETCF,,,,,,,
사육,F0291,흑,암,21,ETCF,,,,,,,
사육,F0350,흑,암,21,ETCF,,,,,,,고성
사육,F0349,흑,암,21,ETCF,,,,,,,고성
방이동예정,M0102,흑,수,12,ETCM,,,,"거세 X, 20번 방으로 옮길 예정",,,
방이동예정,M0141,보어,수,12,ETCM,,,,"거세 X, 20번 방으로 옮길 예정",,,
방이동예정,M0087,보어,수,12,ETCM,,,,"거세 X, 20번 방으로 옮길 예정",,,
사육,M0347,보어,수,20,ETCM,,,,손탐,,,
사육,M0346,보어,수,20,ETCM,,,,,,,
사육,M0334,보어,수,20,ETCM,,,,,,,
사육,M0333,흑,수,20,ETCM,,,,,,,고성
사육,M0332,흑,수,20,ETCM,,,,,,,
사육,M0331,흑,수,20,ETCM,,,,,,,
사육,M0330,흑,수,20,ETCM,,,,,,,
사육,M0329,흑,수,20,ETCM,,,,,,,
사육,M0328,투톤,수,20,ETCM,,,,,,,
사육,M0365,흑,수,20,ETCM,,,,,,,
사육,M0364,보어,수,20,ETCM,,,,,,,
사육,M0363,보어,수,20,ETCM,,,,,,,
사육,M0362,보어,수,20,ETCM,,,,,,,
사육,M0361,흑,수,20,ETCM,,,,,,,
사육,M0355,보어,수,20,ETCM,,,,,,,
사육,M0354,보어,수,20,ETCM,,,,,,,
사육,M0353,보어,수,20,ETCM,,,,,,,
사육,M0352,보어,수,20,ETCM,,,,,,,
사육,M0351,보어,수,20,ETCM,,,,,,,
사육,M0255,흑,수,20,ETCM,,,,,,,
사육,M0254,흑,수,20,ETCM,,,,,,,
사육,M0253,갈색,수,20,ETCM,,,,,,,
