그룹번호,방번호,종부투입회차,종부수컷번호,종부투입일,종부퇴실일,출산예정월,결과,비고,교배ID
G2511,14,1차투입,,,,,일부 임신,,M-G2511-1차투입
G007,16,1차투입,,,,,일부 임신,,M-G007-1차투입
G006,18,1차투입,,,,,일부 임신,,M-G006-1차투입
G2511,14,2차투입,M0118,26-03-04,,26-06,교배 중,"추가 투입, 처음 투입 종모 모름",M-G2511-2차투입
G007,16,2차투입,M0119,26-03-04,,26-05,교배 중,"추가 투입, 처음 투입 종모 모름",M-G007-2차투입
G006,18,2차투입,M0120,26-03-04,,26-04,교배 중,"추가 투입, 처음 투입 종모 모름",M-G006-2차투입
G2512,1,1차투입,M0338,26-01-01,,26-07,교배 중,,M-G2512-1차투입
G2601,10,1차투입,M0100,26-02-01,,26-07,교배 중,,M-G2601-1차투입
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
,,,,,,,,,M--
