,,,,
거세전1,WBOER,수,보어 거세 모음,
보어종,SBOER,수,보어 종모(M301),
흑종1,SGOAT1,수,흑 종모 1군,
흑종2,SGOAT2,수,흑 종모 2군,
거세후,WGOAT,수,흑 거세 모음,
거세전2,ETCM,수,"4~5개월령, 거세 및 일부 종후보",
,,,,
,,,,
,ETCF,암,"4~5개월령, 교배 예정",
,G001,암,임신축 모음,
,G002,암,임신축 모음,
,G003,암,임신축 모음,
,G004,암,임신축 모음,
,G005,암,임신축 모음,
,,,,
,,,,
,G2509,암,25년 09월 출산축,
,G2510,암,25년 10월 출산축,
,G2511,"암,수","25년 11월 출산, 탄생축","방 옮길 예정, 어미랑 새끼랑 구분 안 됨"
,G2512,"암,수","25년 12월 출산, 탄생축",
,G2601,"암,수","26년 01월 출산, 탄생축",
,G2602,"암,수","26년 02월 출산, 탄생축",
,G2603,"암,수","26년 03월 출산, 탄생축",
,,,,
,GFAIL,암,육아 실패축,
