모축번호,출산회차,출산일,생존암컷,생존수컷,사산암컷,사산수컷,"자축번호목록
(쉼표구분)",비고,"분만형태
(자연/보조/난산)","포유상태
(양호, 보통, 미흡,  인공포유, 불가)","총산자수
(생존+사산)",사산합계,검산(총-계산),분만후합병증,출산ID
F0377,1,26-03-04,,1,,,M0321,,자연,양호,1,,0,,B-260304-F0377
F0037,2,26-03-04,1,1,,,"F0447, M0322",,자연,양호,2,,0,,B-260304-F0037
F0395,2,26-03-04,1,,,,F0446,,자연,양호,1,,0,,B-260304-F0395
F0055,3,26-03-04,1,1,,,"F0386, M0324",,자연,양호,2,,0,,B-260304-F0055
F0308,1,26-03-04,,1,,,M0323,,자연,양호,1,,0,,B-260304-F0308
F0323,1,26-03-05,,,1,,,M0084 대리모,,,1,1,0,,B-260305-F0323
F0035,3,26-03-05,,,1,,,"M0085, F0448 대리모",,,1,1,0,,B-260305-F0035
F0083,2,26-03-05,1,,,,F0387,흑,자연,양호,1,,0,,B-260305-F0083
F0352,2,26-03-05,2,,,,"F0388, F0389",보어,자연,양호,2,,0,,B-260305-F0352
F0373,3,26-03-05,,2,,,"M0146, M0325",보어,자연,양호,2,,0,,B-260305-F0373
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
,,,,,,,,,,,0,,0,,B--
