File,Time_Sec,GPU_Util,RAM_Usage_MB,Power_W,Net_Sent_Bytes,Net_Recv_Bytes,CPU_Core_0,CPU_Core_1,CPU_Core_2,CPU_Core_3,CPU_Total_Avg
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.05896378299803473,0,10577,0,0,52,0.0,100.0,0.0,0.0,25.0
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.127374511997914,0,10903,0,270169,8482,35.9,26.2,66.7,9.8,34.650000000000006
EC_0179-5235-04-04-PSJ-F-04-A.wav,2.1493362179899123,99,11211,0,0,476,76.7,22.8,1.0,1.0,25.375
EC_0179-5235-04-04-PSJ-F-04-A.wav,3.1719969059922732,99,11238,0,2658,2006,5.0,89.2,23.3,3.8,30.325
EC_0179-5236-04-04-PSJ-F-04-A.wav,0.05608401101198979,98,11527,0,30415,572,0.0,0.0,0.0,0.0,0.0
EC_0179-5236-04-04-PSJ-F-04-A.wav,1.1262304180127103,99,11831,0,357163,5501,35.5,15.9,80.2,8.4,35.0
EC_0179-5237-04-04-PSJ-F-04-A.wav,0.057899085979443043,99,11931,0,33125,884,0.0,0.0,0.0,0.0,0.0
EC_0179-5237-04-04-PSJ-F-04-A.wav,1.128629747981904,99,11932,0,215658,6351,16.0,11.0,15.0,66.7,27.175
EC_0179-5238-04-04-PSJ-F-04-A.wav,0.05866533500375226,93,11949,0,30283,832,0.0,0.0,0.0,0.0,0.0
EC_0179-5238-04-04-PSJ-F-04-A.wav,1.138445160991978,99,11961,0,394906,6916,15.0,37.4,33.9,11.1,24.349999999999998
EC_0179-5238-04-04-PSJ-F-04-A.wav,2.1656387349939905,92,11974,0,0,0,1.0,1.0,17.6,1.0,5.15
EC_0179-5238-04-04-PSJ-F-04-A.wav,3.190743137995014,92,11974,0,2685,1549,2.0,1.9,16.8,20.0,10.175
EC_0179-5239-04-04-PSJ-F-04-A.wav,0.065838045993587,99,11974,0,5035,104,12.1,9.2,27.0,19.4,16.924999999999997
EC_0179-5239-04-04-PSJ-F-04-A.wav,1.1443530029791873,92,11974,0,276547,14847,23.1,12.1,36.4,24.3,23.974999999999998
EC_0179-5329-04-04-PSJ-F-04-A.wav,0.06677963200490922,99,11988,0,68023,1040,0.0,0.0,0.0,0.0,0.0
EC_0179-5329-04-04-PSJ-F-04-A.wav,1.142383743019309,98,12000,0,183750,3640,11.1,8.3,9.4,32.7,15.375
EC_0179-5329-04-04-PSJ-F-04-A.wav,2.1681910960178357,0,11999,0,2820,1260,7.0,18.2,19.6,7.8,13.149999999999999
EC_0179-5330-04-04-PSJ-F-04-A.wav,0.06041487099719234,99,11999,0,87587,1300,11.1,13.6,22.4,14.5,15.399999999999999
EC_0179-5330-04-04-PSJ-F-04-A.wav,1.1312063990044408,0,11999,0,166908,4579,45.9,5.6,34.9,8.3,23.675
